,name,artistName,trackName,msPlayed,datetime,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,,,,,,,,,,
85,Memories (feat. Kid Cudi)___David Guetta,David Guetta,Memories (feat. Kid Cudi),0,12/18/19 18:27,0.561,0.87,-6.103,0.343,0.0015,2.82E-06,0.246,0.498,129.98,210093,,,,,,,,,,
86,Memories (feat. Kid Cudi)___David Guetta,David Guetta,Memories (feat. Kid Cudi),380,12/18/19 18:27,0.561,0.87,-6.103,0.343,0.0015,2.82E-06,0.246,0.498,129.98,210093,,,,,,,,,,
87,Rude - Zedd Remix___MAGIC!,MAGIC!,Rude - Zedd Remix,9294,12/18/19 18:27,0.598,0.836,-2.388,0.0457,0.0324,2.44E-06,0.0751,0.343,130.009,273231,,,,,,,,,,
88,Live The Night___W&W,W&W,Live The Night,4479,12/18/19 18:27,0.805,0.968,-3.909,0.227,0.00707,0.00091,0.368,0.211,127.984,133125,,,,,,,,,,
89,Alarm - Marshmello Remix___Anne-Marie,Anne-Marie,Alarm - Marshmello Remix,150787,12/18/19 18:27,0.684,0.975,-0.045,0.0904,0.0429,0,0.064,0.7,141.994,219718,,,,,,,,,,
90,Under Control (feat. Hurts)___Calvin Harris,Calvin Harris,Under Control (feat. Hurts),707,12/18/19 18:27,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,,,,,,,,,,
91,Under Control (feat. Hurts)___Calvin Harris,Calvin Harris,Under Control (feat. Hurts),1233,12/18/19 18:27,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,,,,,,,,,,
92,Frontlines___Zeds Dead,Zeds Dead,Frontlines,0,12/18/19 18:27,0.407,0.925,-4.155,0.0747,0.0113,0.0025,0.192,0.119,151.993,214733,,,,,,,,,,
93,Backlash - Martin Garrix Radio Edit___DubVision,DubVision,Backlash - Martin Garrix Radio Edit,9687,12/18/19 18:27,0.603,0.792,-4.782,0.0472,0.00233,2.74E-06,0.168,0.195,126.926,172913,,,,,,,,,,
94,Don't Let Me Down (feat. Daya) - W&W Remix___The Chainsmokers,The Chainsmokers,Don't Let Me Down (feat. Daya) - W&W Remix,1748,12/18/19 18:27,0.431,0.877,-5.677,0.121,0.041,0.00128,0.126,0.484,159.897,195093,,,,,,,,,,
95,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix___Lana Del Rey,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,171215,12/18/19 18:40,0.572,0.81,-5.791,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,214912,,,,,,,,,,
96,Put EM Up___W&W,W&W,Put EM Up,16822,12/20/19 3:16,0.398,0.942,-4.544,0.319,0.0609,0.0654,0.687,0.336,102.113,182842,,,,,,,,,,
97,Drown the Sky___William Black,William Black,Drown the Sky,7669,12/20/19 3:16,0.495,0.714,-5.058,0.0369,0.257,0,0.105,0.242,144.882,221793,,,,,,,,,,
98,OMG (with Carly Rae Jepsen)___Gryffin,Gryffin,OMG (with Carly Rae Jepsen),215974,12/20/19 3:20,0.558,0.587,-7.135,0.0508,0.0127,0.0111,0.11,0.687,177.891,215975,,,,,,,,,,
99,Help - EP Version___Galantis,Galantis,Help - EP Version,168057,12/20/19 3:36,0.487,0.78,-3.938,0.054,0.169,0,0.0886,0.454,127.955,248883,,,,,,,,,,
100,Hollow___DubVision,DubVision,Hollow,6635,12/23/19 3:52,0.634,0.743,-4.039,0.0392,0.00298,1.96E-06,0.0442,0.243,118.937,237880,,,,,,,,,,
101,Time To Jack___TJR,TJR,Time To Jack,50737,12/23/19 3:52,0.663,0.969,-2.614,0.0435,0.00145,0.731,0.322,0.344,128.026,166875,,,,,,,,,,
102,We Found Love___Rihanna,Rihanna,We Found Love,557,12/23/19 3:52,0.734,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,,,,,,,,,,
103,Aftershock (feat. Jacquie)___Cash Cash,Cash Cash,Aftershock (feat. Jacquie),203824,12/23/19 3:55,0.544,0.811,-2.271,0.0515,0.052,0,0.121,0.188,129.011,206320,,,,,,,,,,
104,Don't Let Me Down (feat. Daya) - Illenium Remix___The Chainsmokers,The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix,141704,12/23/19 3:57,0.428,0.656,-3.712,0.075,0.0751,0.181,0.15,0.355,79.648,218933,,,,,,,,,,
105,They Don't Know Us___Borgeous,Borgeous,They Don't Know Us,100346,12/23/19 3:59,0.68,0.668,-5.184,0.098,0.0828,1.94E-05,0.101,0.36,128.034,261570,,,,,,,,,,
106,Catch Me (feat. Naaz)___Yellow Claw,Yellow Claw,Catch Me (feat. Naaz),74244,12/23/19 4:00,0.56,0.916,-3.328,0.0661,0.0362,0.000963,0.102,0.585,144.933,162383,,,,,,,,,,
107,I Want You___Tiësto,Tiësto,I Want You,173809,12/23/19 4:03,0.705,0.433,-9.706,0.204,0.388,0.134,0.0841,0.602,168.006,212787,,,,,,,,,,
108,Nevada___Vicetone,Vicetone,Nevada,208561,12/23/19 4:07,0.605,0.783,-4.271,0.0324,0.299,0.000175,0.133,0.105,124.015,208562,,,,,,,,,,
109,Is It Love - Arty Remix___3LAU,3LAU,Is It Love - Arty Remix,77662,12/23/19 4:08,0.454,0.846,-4.577,0.0764,0.0037,0,0.105,0.216,128.064,202510,,,,,,,,,,
110,Beautiful Now___Zedd,Zedd,Beautiful Now,72673,12/23/19 4:09,0.628,0.833,-4.126,0.0282,0.0079,1.48E-05,0.074,0.56,128.003,218293,,,,,,,,,,
111,Wildcard (feat. Sidnie Tipton)___KSHMR,KSHMR,Wildcard (feat. Sidnie Tipton),189375,12/23/19 4:12,0.591,0.835,-3.398,0.0977,0.0998,0,0.148,0.472,127.931,189375,,,,,,,,,,
112,Blackout - Madison Mars Radio Mix___Tritonal,Tritonal,Blackout - Madison Mars Radio Mix,30217,12/23/19 4:13,0.605,0.884,-3.094,0.0611,0.0856,0.000162,0.0501,0.401,125.989,235000,,,,,,,,,,
113,Blackout - Madison Mars Radio Mix___Tritonal,Tritonal,Blackout - Madison Mars Radio Mix,1030,12/23/19 4:13,0.605,0.884,-3.094,0.0611,0.0856,0.000162,0.0501,0.401,125.989,235000,,,,,,,,,,
114,Last Night Of Our Lives - Radio Edit___Manse,Manse,Last Night Of Our Lives - Radio Edit,595,12/23/19 4:13,0.436,0.89,-3.205,0.049,0.027,0,0.163,0.214,126.855,181500,,,,,,,,,,
115,Zero Gravity (feat. Lights) - Radio Edit___Borgeous,Borgeous,Zero Gravity (feat. Lights) - Radio Edit,20829,12/23/19 4:13,0.49,0.809,-6.269,0.0569,0.0327,0,0.121,0.142,130.08,227077,,,,,,,,,,
116,Last Night Of Our Lives - Radio Edit___Manse,Manse,Last Night Of Our Lives - Radio Edit,181500,12/23/19 4:16,0.436,0.89,-3.205,0.049,0.027,0,0.163,0.214,126.855,181500,,,,,,,,,,
117,Stable___Breathe Carolina,Breathe Carolina,Stable,196015,12/23/19 4:20,0.457,0.942,-3.612,0.339,0.0298,0,0.296,0.322,139.786,230787,,,,,,,,,,
118,Us___Kaskade,Kaskade,Us,0,12/23/19 4:23,0.631,0.709,-4.666,0.0505,0.0963,0,0.376,0.2,84.504,176443,,,,,,,,,,
